factor,source,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_count,ls_total_return,ls_mean_daily,ls_std_daily,ls_sharpe,ls_win_rate,ls_max_drawdown,ls_count,turnover_rate,status,error,elapsed_sec,score_abs_ic_mean,score_abs_ic_ir,score_ic_positive,score_ls_sharpe,score_ls_total_return,score_ls_win_rate,composite_score
micro_price,high_frequency,0.0374309213805393,0.05805306070933408,0.6447708514104401,0.8,5,0.036506488350882105,0.00722790246771404,0.007894011021270093,14.534992955045011,0.8,-0.003834288299278591,5,0.6431987247608927,ok,,0.359,0.8333333333333334,0.9583333333333334,0.9375,1.0,1.0,0.9166666666666666,0.9354166666666668
effective_spread,high_frequency,0.08578185121703424,0.17275985453375067,0.49653810747030785,0.6,5,0.028350124227059403,0.00567220738976681,0.011466728511591796,7.852588533652749,0.8,0.0,5,0.3421891604675877,ok,,0.349,0.9583333333333334,0.8333333333333334,0.7916666666666666,0.875,0.9583333333333334,0.9166666666666666,0.8958333333333334
bid_ask_spread,high_frequency,0.11118700267417245,0.14213809049474588,0.7822463513274963,0.8,5,0.011238607243773124,0.0022923212035824234,0.010453471113517182,3.4810897340598776,0.6,-0.001810263509792779,5,0.2027098831030818,ok,,0.396,1.0,1.0,0.9375,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.8749999999999999
trade_imbalance,high_frequency,0.05267012605392479,0.2174211107355342,0.24224936518695034,0.6,5,0.0187413166464121,0.003782460025080113,0.011175708383167131,5.3727861683354305,0.8,0.0,5,0.752125398512221,ok,,0.366,0.875,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.875,0.9166666666666666,0.8041666666666667
order_imbalance,high_frequency,0.025965177617549816,0.06087025546267691,0.4265659379969347,0.8,5,0.017204156519841307,0.0034251471730102913,0.003947838001462173,13.772734778212483,0.8,-0.001665230271699417,5,0.7492029755579172,ok,,0.367,0.5833333333333334,0.75,0.9375,0.9375,0.8125,0.9166666666666666,0.790625
depth_imbalance,high_frequency,0.025965177617549805,0.0608702554626769,0.4265659379969346,0.8,5,0.017204156519841307,0.0034251471730102913,0.003947838001462173,13.772734778212483,0.8,-0.001665230271699417,5,0.7492029755579172,ok,,0.347,0.5416666666666666,0.7083333333333334,0.9375,0.9375,0.8125,0.9166666666666666,0.771875
pe_ttm,fundamental,-0.01390692859836079,0.0831033129913519,-0.16734505638551386,0.44,25,0.015959204373109603,0.0007383348675277482,0.014475910315677512,0.8096694720403069,0.6,-0.07211131756226719,25,0.0,ok,,0.51,0.3333333333333333,0.4166666666666667,0.6458333333333334,0.7083333333333334,0.75,0.6666666666666666,0.5520833333333334
trade_flow_intensity,high_frequency,-0.036837924642357175,0.08742450510134635,-0.4213684092309476,0.4,5,-0.010870643547952197,-0.0021202603680308407,0.011243364215637002,-2.9935959776420358,0.4,-0.022938711116603543,5,0.18225292242295432,ok,,0.357,0.75,0.6666666666666666,0.4583333333333333,0.16666666666666666,0.5833333333333334,0.1875,0.50625
circ_mv,fundamental,-0.029153019112581075,0.049693014199982254,-0.5866623222986439,0.36,25,-0.036162818339279035,-0.0014299337641279642,0.00918943311886227,-2.470173567123465,0.44,-0.061596016058385265,25,0.00028611133818360175,ok,,0.534,0.6666666666666666,0.9166666666666666,0.25,0.20833333333333334,0.25,0.3125,0.48541666666666666
vwap_deviation,high_frequency,-0.058580361500323766,0.10486359515242237,-0.5586339226227697,0.2,5,-0.032715570818084516,-0.006546865739002238,0.01280771976644509,-8.114502313382552,0.4,-0.03278561736148448,5,0.6299149840595112,ok,,0.363,0.9166666666666666,0.875,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.1875,0.4791666666666667
pe,fundamental,0.001828788662896972,0.11983523360190833,0.015260859497901869,0.44,25,0.027189620325235975,0.0011718972537719074,0.014020624922038935,1.3268518541108465,0.6,-0.06516935364632985,25,0.0,ok,,0.522,0.125,0.125,0.6458333333333334,0.75,0.9166666666666666,0.6666666666666666,0.475
turnover_rate_f,fundamental,-0.03723141823475725,0.17123321616830578,-0.21743105145068553,0.4,25,-0.055031962809192314,-0.0021405513574504335,0.015543176673330852,-2.1861811183396656,0.44,-0.10129616009050142,25,0.37198561268699415,ok,,0.508,0.7916666666666666,0.5416666666666666,0.4583333333333333,0.375,0.08333333333333333,0.3125,0.4708333333333334
pb,fundamental,-0.006123230892584251,0.032554347767976104,-0.1880925686555363,0.28,25,-0.01399870961751104,-0.00047594802730428987,0.013231484021484278,-0.5710199015594648,0.64,-0.06514312505186033,25,0.0003678574348074879,ok,,0.512,0.25,0.5,0.08333333333333333,0.5833333333333334,0.4583333333333333,0.7916666666666666,0.4354166666666667
price_momentum,high_frequency,-0.015036831903052304,0.11018155742178207,-0.1364732197920415,0.6,5,-0.011133811343836952,-0.002207198142092067,0.007670744644762904,-4.567768305680509,0.6,-0.02101746471722388,5,0.7996811902231667,ok,,0.384,0.4583333333333333,0.3333333333333333,0.7916666666666666,0.125,0.5416666666666666,0.6666666666666666,0.4333333333333333
turnover_rate,fundamental,-0.027024061771271243,0.16620579842671146,-0.16259397702774803,0.4,25,-0.04192582963322289,-0.0015857555297954184,0.01587133213639244,-1.5860728271311175,0.48,-0.09216919337501013,25,0.3047903212621597,ok,,0.529,0.625,0.375,0.4583333333333333,0.4166666666666667,0.125,0.4375,0.4229166666666667
total_mv,fundamental,-0.014333444278050778,0.03251060127365104,-0.4408852410142179,0.36,25,-0.03716187680762251,-0.0014675715314772988,0.009596379295373617,-2.42768393201738,0.48,-0.06726568279381077,25,4.08730483119431e-05,ok,,0.521,0.4166666666666667,0.7916666666666666,0.25,0.2708333333333333,0.1875,0.4375,0.4135416666666667
log_mkt_cap,fundamental,-0.01651917546237824,0.09823576017846987,-0.16815847337432946,0.44,25,-0.03716187680762251,-0.0014675715314772988,0.009596379295373617,-2.42768393201738,0.48,-0.06726568279381077,25,4.08730483119431e-05,ok,,0.506,0.5,0.4583333333333333,0.6458333333333334,0.2708333333333333,0.1875,0.4375,0.4072916666666667
dv_ttm,fundamental,-0.00405916026337988,0.14173039233939524,-0.02864001288911694,0.44,25,-0.01271761542880645,-0.00041759458282245325,0.013737971982450699,-0.4825390893535147,0.48,-0.04120344827274065,25,0.0007357148696149758,ok,,0.517,0.20833333333333334,0.16666666666666666,0.6458333333333334,0.625,0.5,0.4375,0.39375000000000004
realized_volatility,high_frequency,0.008217737729082176,0.07696285571641139,0.10677537433593234,0.4,5,-0.0025665910972377803,-0.0005078676781464388,0.0034590761004545897,-2.330723354354678,0.4,-0.007913575445509127,5,0.33049946865037194,ok,,0.344,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.3333333333333333,0.625,0.1875,0.35625
earnings_yield,fundamental,-0.014177169639518684,0.14041653604298898,-0.10096510025840758,0.4,25,-0.031283497800840054,-0.0011721797933009494,0.014020226893519245,-1.3272094304106996,0.4,-0.04685595031943565,25,0.0,ok,,0.493,0.375,0.25,0.4583333333333333,0.4583333333333333,0.3333333333333333,0.1875,0.35
volume_ratio,fundamental,-0.0338227204668167,0.0902285205667595,-0.3748562012805195,0.32,25,-0.07072933585629448,-0.0028995864379370595,0.007770845319949862,-5.923359148602828,0.36,-0.07415736511262086,25,0.6876072917518188,ok,,0.526,0.7083333333333334,0.625,0.125,0.08333333333333333,0.041666666666666664,0.0625,0.34375
ps_ttm,fundamental,-0.003694620325813901,0.05277882736980799,-0.07000194036003536,0.36,25,-0.0158846856779854,-0.0005532124619511254,0.013181913489248964,-0.6662140201564251,0.56,-0.0916334222869007,25,0.0,ok,,0.519,0.16666666666666666,0.20833333333333334,0.25,0.5416666666666666,0.4166666666666667,0.5416666666666666,0.33333333333333337
book_to_market,fundamental,-0.0011710578574116426,0.1408412455897456,-0.008314736585210272,0.36,25,0.009916761360812876,0.0004823671628223605,0.013251291992657562,0.5778562063950804,0.36,-0.034154400625493485,25,0.0003678574348074879,ok,,0.552,0.08333333333333333,0.08333333333333333,0.25,0.6666666666666666,0.6666666666666666,0.0625,0.3020833333333333
ps,fundamental,-8.944109247309818e-05,0.06860778652020673,-0.0013036580395543807,0.36,25,-0.023961868028999578,-0.0008839198704491502,0.013080893769815768,-1.0726937458264305,0.6,-0.08968152709372144,25,0.0,ok,,0.513,0.041666666666666664,0.041666666666666664,0.25,0.5,0.375,0.6666666666666666,0.26666666666666666
